"2021/07/09 9:13:52 PM GMT+1","4º ano","Zé Gotinha é um personagem criado por Darlan Rosa para ser alguem que passase coragem para quem tinha que se vacinar.
","Darlan Rosa e o pai do Zé Gotinha.","As propagandas eram assustadoras.","Zé Gotinha foi criado em 1986.","Darlan Rosa fez o Zé Gotinha com as duas gotinha da polido hoje em dia ele se parece uma gota de agua so que branca.","Ele aparecia no comercial chorando, pois nao tinha um nome ainda.","Foi feita a partir de um concurso .","Eles entenderam que o nome deveria ser este.","Quem levou o premio era um menino do Distrto Federal .","Fazer as criancas perderem o medo de se vacinar.","Vacina e um assunto serio, pois se voce se vacina as chances de pegar uma doenca sao menores.","Nao e presiso ter medo de tomar vacina, pois elas deixam voce com menos chances de pegar uma doencas.","Poliomielite é uma doenca que que causa palisia nas criancas.","Eu acho que foi feitop pois a tecnologia de computadores celulares e tablets nao existiam na epoca .Se existiam eram muito caros. ","Ha no personagem que incentivam as criancas uma gotinha.","Ele trabalha como escultor.","As aspas servem para mostrar que a frase nao e do autor do texto e sim de outra pessoa.","O fato e Darlan virou ate nome  de predio , E A OPINIAO E Aqui sou uma pessoa ilustre.","A bareira dos medos e muitas criancas com medo e deslanchou  e muito.","Morrer de medo significa ficar sem vontade de ficar doente","A reportagem pegou esse desenho de um arquivo pessoal de Darlan Rosa"
"2021/07/09 9:13:58 PM GMT+1","4º ano","O personagem Zé Gotinha já é um velho conhecido dos brasileiros, desde a década de 1980, quando o mascote foi criado para encorajar as crianças na hora de se vacinar contra a poliomelite.","Darlan Rosa è o ´´pai´´ do personagem, que ganhou nome em um concurso.","As propagandas eram assustadoras","Zé gotinha foi criado em 1986.","Quando ele nasceu ele era apenas uma gotinha sem nome atualmente ele já tem nome e conhecido no mundo todo. ","Ele aparecia chorando por causa que ele não tinha nome.","A escolha do nome Zé gotinha foi escolhido por mais mais de 10 mil cartas sugerindo o nome de zé gotinha.","Os organizadores entederam que o nome seria este, para escolher só um vencedor, foi feito um sortei. Um menino do Distrito Federal levou um prêmio.","Um menino do Distrito Federal levou um prêmio.","A ideia principal da campanha era fazer as crianças vacinarem.","A vacina é um assunto serio, pois elas imunizam o corpo da pessoa contra uma doença.","Não é preciso ter medo pois as vacinas vão deixar as pessoas imunizadas contra qualquer coisa.","Poliomelite é uma doença que causava paralisia nas crianças.","Esse concurso foi feito por cartas porque nessa época não existia internet.","O personagem é uma gotinha. Como as crianças viram que ele é uma gotinha não ficaram com medo de tomar a vacina.","O criador do Zé Gotinha hoje em dia é escultor.","As aspas nese texto servem para destacar as falas.","O primeiro trexo é um fato e o segundo trexo é opinião.","Barreira dos medos: medo de ir a um lugar. Deslanchou: Seguiu","Morrer de medo significa ficar com muito medo.","A reportagem retirou esse desenho do comercial."
"2021/07/09 9:14:38 PM GMT+1","4º ano","mascote","a pessoa que criou ele","era assustadora","1986","ele era apenas uma gotinha agora e um boneco","ele estava triste porque não tinha nome","as pessoas fez um concursso para escolhe e seu nome","porque varias pessoas escolheram esse nome","menino do distrito federal ","para que as crianças fosse vacinadas","porque e uma doença ","porque e so   gotinhas","doença que causa paralisia nas crianças","para que todas as crianças  do mundo participase","ele e um personagem que não passa medo","ele e escultor","distacar a resposta do criador","fato","fque as pessoar come caram a vacinar sem medo","quando uma pessoa muito assustada","arquivo do pessoal do criador "
"2021/07/09 9:16:07 PM GMT+1","4º ano","É um mascote ","quem criou sego tinha","era asustadora","1986","ele era apenas uma gotinha agora e um buneco","porque ele não tinha nome","fiseram um concursso par a escolhero nome dele","porque varias pessoas escolheram  esse nome para ele","um menino do distrito federal","por que todos fosen vacinados","porque e uma doença seria","por que era so uma gotinha","doença que causa paralisia","para que todas as criança do mundo participase","ele e um personagem que não passa medo","ele e iscutor","destacar a resposta do criador","fato","que as pesso comesaram a vacinar sem medo","quando uma pessoa muito assus tada","arquivo pessual do criador"
"2021/07/09 9:16:37 PM GMT+1","4º ano","O ze gotinha e uma gotinha.","A Darlan rosa e a criadora do ze gotinha.","As propagan as antes de ze gotinha eram cartases.","Ze gotinha foi criado em 1986.","CARACTERISTICA: Hoje em dia ele ta maior e mais branquinho e antes ele era bem azulzinho e mais fofinho.","Por que ele nao tinha amigos.","Foi feito o nome Ze Gotinha porque ele e uma gota.","Por que ele e uma gota ai eles pensaram que podia ser o nome Ze Gotinha.","Foi Darln Rosa.","A ideia era arrecadar dinheiro","Por que vacina faiz bem para a saude.","Por que e rapido e nao doi.","Uma doença que não o deixa andar.","Por que nâo existia celular.","Por que o personagem incentiva as crianças.","cria vacina.","Serve para separar as coisas.","O primeiro trecho e um fato e a segunda uma opiniao.","O primeiro e por causa que acabou o medo e o segundo deslanchou foi pra frente.","Com medo de tomar injeção.","Foi tirado do arquivo pessoal de Darnl Rosa."
"2021/07/09 9:16:45 PM GMT+1","4º ano","mascote","a pessoa que criou ele","era assustadora","1986","ele era apenas uma gotinha agora e um boneco","porque ele não tinha nome","as pessoa fez um concurso para escolher o seu nome","porque varias pessoas escolheram esse nome  para ele ","um menino do disfiro federal","para que as criança fosse vacinadas","porque e uma doença seria ","porque e só gotinhas ","doença que causa paralisia nas criança ","para que todas as criança do mundo participase","ele e um personagem que não passa medo","ele e escutor","destacar a resposta do criador","fato","que as pessoa comesaram a vacinar sem mendo","quando uma pessoa esta  muito assustada","arquivo pessoal do criador "
"2021/07/09 9:18:39 PM GMT+1","4º ano","um     mascote     ","quem  criou   mascote","era  assustador","1986","agora  e  um    personagem","porque    ele     nao    tinha   nome","com   um   con   um   voto","porque   varias   pesoas    escoleram    ese    mone","um   menino  do  distrito  federal","por  que   todos  fosen   vasinados","pois   ela  fas    bem para   a  saude","proque  sao  apenas  gotas ","doensas    que  fas   paraiesia","proque    naopara  todas  as   criansia","ele  nao  pasa  medo","o   ze   gotinhaa   autamete   ele    fas   pogadapa","destacar    a   resposta    do    criado","fato","que   as   pesaso       comesaral   a  vasinararmedo  ","medo  de  se    vasinaralarqe","arqivo"
"2021/07/09 9:19:42 PM GMT+1","4º ano","Zé Gotinha e uma representação da vacina","Darlan Rosa foi que criou o Zé Gotinha","As propagandas dele a parecia ele chorando em um cantinho dizia que esta triste por que não tinha nome","1986 na cidade de Brasília","em 1986 ele era um desenho e hoje em dia ele um boneco","Por que não tinha nome","O nome dele foi escolhido em um corncuso","10mil de cartas para o nome de Zé gotinha","Um menino do Distrito Federal","Para as crianças não ter medo","para o bem da sou saúde"," por que faz bem para voce","doença que causa paralisia nas crianças","Por que na época não havia acesso a internet.","Uma gotinha","Atualmente ele trabalha como escultor.","Para fazer citação.","Fato","BLOQUEIO/PROGREDIU","Ter muito medo","Arquivo pessoal do criador"
"2021/07/09 9:20:32 PM GMT+1","4º ano","ele é um gota/mascote","ele foi quem  invento o ze gotinha .","era um sucesso   .","1986.","É maior .","ele nao tinha nome .","Muitas catas. ","O nome dele é assim ,pois ele era uma gota.","Foi a criadora.","as crianças vacinarem.","tira doença  .","Tira doenças.","doença","Para ele ter um nome.","Vai na boca","Escutor","Para tirar de algo.","O primeira é um fato e a segunda é opinião.","foi para frente  ","Muito medo a primeira e a segunda trecho.","arquivo pessoal da criadora"
"2021/07/09 9:20:46 PM GMT+1","4º ano"," o zé gotinha e uma gotinha que e uma vacina.                      
","Darlan rosa foi quem criou o Zé gotinha.","as propagrandas de vacina antes do zé gotinha era um sucesso
","1986","nasceu em 1986 mas de la pra ca nao mudou nada continua branquinho e uma gota
","ele aparecia no comercial chorando pq nao tinha nome","a escolha do nome zé gotinha foi feita porque ele e uma gota 
","porque ele é uma gota de vacina","quem levou o premio pela ecolha do nome zé gotinha foia a criadora darlan rosa","fazer uma vacina de gota.","porque temos que tomar pra nao ficar desprotejidos","porque nao doi.","poliomielite e uma doença","porque na epoca nao tinha internete celulares e outros aparelhos","porque gotinha nao doi","atualmente ele trabalha como escultor","para tirar de um lugar","1fato 2 opnião","seguiu em frente","   significa que ele esta morrendo de medo de tomar vacina.","arquivo pessoal da criadora"
"2021/07/09 9:20:48 PM GMT+1","4º ano","MASCOTE DAS VACINAS.","CRIADORA DO ZÉ GOTINHA.","ERA ASSUSTADORA PARA AS CRIANÇAS .","ELE FOI CRIADO EM 1986.","ELE NACEU EM  1986. ELE ERA DIFERNTE SDE HOJE EM DIA . QUANDO NASCEU ERA  PEQUENO ,MAGRO .AGORA ELE É GRANDE ","ELE APARECE CHORANDO, POIS ELE NÃO TINHA UM NOME .","FOI FEITA A ELCOLHA DO NOME ZÉ GOTINHA  EM UM CONCURSO .","PORQUE FOI VOTADO .","TINHA LEVADO O PEMIO FOI UM MENINO DO DISTRITO FEDERAL.","A IDEIA PRINCIPAL ERA PARA AS CRIANÇAS PARAREN DE TER MEDO DE TOMAR VACINA .","PORQUE AS CRIANÇAS TINHAM MEDO DE IR TOMAR VACINA .","POR QUE NAO DEI .","É A DOENÇA PORQUE O ZÉ GOTINHA FOI CRIADO.","PORQUE ANTIGAMENTE NÃO EXISTIA ELETRONICOS .","PORQUE ELAS NÃO TOMAREM A VACINA ELAS PODEM ATE MORRER.","ATUALMENTE ELE TREBALHA COMO ESCULTOR .","PORQUE E UMA FALA .","FATO DARLAN VIROU ATE NOME DE PREDIO RESIDENCIALNA CIDADE OPINIAO AQUI , SOU UMA PESSOA ILUSTE.","ACABOU OS MEDOS FICOU FAMOSA.","FICAR COM MUITO MEDO .","ARQIVO PESSOAL DE DARLAN ROSA."
"2021/07/09 9:21:04 PM GMT+1","4º ano","O ZÉ GOTINHHA É O REPRESENTANTE DO POSTO DE SÁUDE .","A PESSOA QUE CRIOU O ZÉ GOTINHA.","ANTES DA CRIAÇÃO DO ZÉ GOTINHA AS POPAGANDAS ERAM ASSUSTADORAS.","ZÉ GOTINHA FOI CRIADO EM 1986.","OS DESENHOS HOJE SÃO MAIS REALISTAS.","POIS ELE NÃO TINHA NOME.","10 MIL CARTAS FORAM COM O NOME ZÉ GOTINHA","POIS FOI O MAIS VOTADO.","DISTRITO  FEDERAL.","PARAR DE TER MEDO DE TOMAR VACINA.","PORQUE AS PESSOAS TINHAM MEDO.","POIS E PARA O BEM DA NOSSA SÁUDE.","DOENÇA CAUSADA PARALISIA.","PORQUE E A MAIORIA DOS VOTOS.","CORAGEM.","INSENTIVA AS CRIANÇAS A TOMAREM VACINA.","PARA INDICAR QUE UMA PESSOA FALOU.","FATO.","O ZÉ GOTINHA.","TER MUITO MEDO.","AR  QUIVO PESSOAL"
"2021/07/09 9:22:02 PM GMT+1","4º ano","OZÉ GOTINHA É O MOTIVO DAS CRIANÇAS TEREN CORAGEM ANTIGAMENTE.","DARLAN É A PESSOA QUE CRIOU O ZÉ GOTINHA.","ÉSAS PROPAGANDAS ÉRAM MEIO ASUSTADORAS.","ESTE PERSONAGEM FOI CRIADO EM 1986.","AS CARACTERÍSTICAS SÃO QUE ELE FICOL MAS REALISTA.","É PORQUE ELE NUNCA TEVE NOME. POR ISSO ELE ESTAVA CHORANDO.","10MIL CARTAS COM O NOME DO ZÉ GOTINHA.","PORQUE FOI O MAIS VOTADO.","DISTRITO FEDERAL.","PARA AS CRIANÇAS NÃO TEREN MEDO DE TOMAR VACINAS.","PARA AS CRIANÇAS E ADUTOS OU BEBES E IDOSOS.","POR QUE É IMPORTANTE PARA SUA SAUDE.","UMA DOEMSA QUE PARALIZA AS CRIANÇAS.","PORQUE A MAIORIA DOS VOTOS SÃO DESE JEITO.","É A CORAGEM DO ZÉ GOTINHA.","ELE INSENTIVA AS CRIANÇAS A TOMAREN VASINAS.","PARA MOSTRAR QUE UMA PESSOA INDICOL.","FATO.","O ZÉ GOTINHA.","O MEDO DAS PESSOAS.","AR QUIVO PESSOAU."
"2021/07/09 9:22:10 PM GMT+1","4º ano","MASCOTE   DA  VASINA.
","CRIADOR  DO   ZE    COTINA.","ERA  ASUSTADRO  PARA    AS  CRIANSAS.","ELE  NACEU  EM   1986.","ELE   NASCEU   EM  1986    HOJE   ELE  NÃO  ESISTE  MAS  .","PORQUE  ELE  NÃO  TEM   ATEMÇÃO.","ELE   FOI  CHAMADO   DE  ZE   GOTNIA    PORQUE    TEM   A  VASINA    DA    GOTA.","PORQUE  TEM   AVE   COM  UMA   VACINA.","O  DARLAN   QUE   CRIOUO   NOME   DO   ZE.","E   QUE   AS   CRIANÇAS   TOMACE   A  VASINA.","PORQUE  E  UM  MEIO   DE   PROTESÃO.","PORQUE   NÃO  DOE .","É  PORQUE  O   ZÉ  GOTINHA  FOI   CIRADO.","PORQUE  NÃO   ESISTIA   ELETORNICO.","A   NÃO  TER  MEDO.","ELE    FAZ  ATUAMENTE.","PORQUE  E   UM   FALA.","FATO DARLEN    VIROU    ATE   NOME  DE   PREDIO   RESIDENCIAL  NA  CIDADE.OPINIÃO AQUI,SOU  UMA  PESSOAILUSTRE.","DESABOU.","O   MEDO.","NO   PRAQUE."
"2021/07/09 9:22:56 PM GMT+1","4º ano","Zé Gotinha é um personagem desenvolvido por Darlan Rosa que ajuda as crianças com o medo da vacinação.","Darlan Rosa é uma mulher de 75 anos que criou em 1986 o famoso Zé Gotinha.","As propagandas de vacina eram assustadoras que em vez de ajudar as crianças a ter menos medo , elas ficaram com mais ainda.","Zé Gotinha foi criado em 1986.","Quando nasceu era um boneco com duas gotinhas de pólio. atualmente é um personagem adorado pelas crianças.","Zé Gotinha aparecia chorando pois, não tinha um nome.","A escolha foi feita por conta de um concurso que era para ideias de nome.","Eles entenderam que o nome deveria ser Zé Gotinha pois, foi o nome com mais votos.","Um menino do Distrito Federal levou o premio.","A ideia principal era ser um boneco de duas bolinhas e pólio.","A vacina é um assunto sério pois, ela é fundamental na vida de crianças, idosos ,adultos não importa a idade .A vacina previne doenças que podem ser simples como resfriado ou mais graves que podem levar até ao falecimento.","Não é preciso ter medo ,pois a vacina é só uma picadinha que é bem melhor do que ficar doente.","Poliomielite é a doença que causa paralisia nas crianças.","Porque essa campanha foi criada antigamente onde não existia tecnologia."," O que incentiva as crianças é a coragem o jeito do Zé Gotinha.","Atualmente ele é escultor.","Esse recurso serve para indicar a fala do criador.","O primeiro é um fato, e  o segundo é uma opinião.","O primeiro tem o sentido de falar que os medos das crianças de vacina acabaram graças ao Zé Gotinha .A segunda palavra tem o sentido de falar que a campanha se desenvolveu.","O significado é que precisa que todo mundo precisa ter muito medo.","Selecionaram  este desenho do arquivo pessoal da Darlan Rosa."
"2021/07/09 9:25:05 PM GMT+1","4º ano","Ele e o mascote das vacinas .","Ela e a criadora do Zé Gotinha.","As propagandas eram assustadores para as pessoas ficarem com medo das doenças e  tomarem as vacinas.","Ele foi criado em 1986.","ANTIGAMENTE,ele era magro e pequedo .

HOGE EM DIA , ele é uma criança grandinha e ainda magro.","Ele estava chorando porque ele não tinha um nome.","A escolha foi feita por um concurso.","Eles sortearam o nome dele mas teve muitas cartas sugeriram esse nome.","Um menino do distrito federal. ","A ideia era para as pessoas tomar a vacina.","É um assunto sério porque dos protege na vacinação.","Não e preciso ter medo porque dos protege das doenças.","A doença para que foi criada o Zé Gotinha.","Não tinha tequinologia ","Ele e encrasado.","Trabalha como escultor.","Para marcar as falas.","1 fato 2 opinião.","Morrer de medo e andou.","Vicar com medo .","Um arquivo pessoal da criador do zé Gotinha."
"2021/07/09 9:25:15 PM GMT+1","4º ano","Personagem da sus. ","Darlan Rosa é quem inventou Zé Gotinha.","Fez um propaganda assustadora pra tomar medo da doença e tomar a vacina.","Ele foi criado em 1983","Antigamente ele era desenho hoje em dia ele já é mais realista.","Pois não tinha um nome.","Darlan lembra que mais de 10 mil cartas sugeriram  o nome Zé Gotinha.","Pois os organizadores entenderam que o nome seria o vencedor.","Um menino do Destrito Federal levou o premio.","Incentivar as pessoas a vacinar sem medo.","Pois protegi das doenças.","porque são apenas gotinhas.","uma doença que causa paralisia ","para crianças de todo o mundo pudessem participar","coragem","escultor","Para destacar a fala do criador","fato","AS PESSOAS COMEÇARAM A VACINAR SEM MEDO","TER MUITO MEDO","Arquivo pessoal do criador"
"2021/07/09 9:25:22 PM GMT+1","4º ano","personagem da sus. 
","Darlan  rosa é quem inventou Zé
Gotinha.","FEZ UM PROPAGANDA ASSUSTADORA PRA TOMAR MEDO DA DOENÇA E TOMAR A VACINA","ele foi criado em 1986","
ANTIGAMENTE ELE ERA EM DESENHO HOJE EM DIA ELA JA É MAS REALISTA","POIS NÃO TINHA UM NOME","10 mil pessoas sugeriu para o nome ser Zé gotinha","pois os organizadores entenderam que o nome seria o vencedor","uma menino do destrito federau levou o premio","incentivar a pessoas vacinar sem medo","pois  protegem as doenças","por que são apenas gotinhas","um doença que causa paralisia nas crianças","para varias crianças do mundo participar","coragem","escultor","para destacar a fala do criador","fato","as pessoas começaram a vasinar sem medo","ficar asustado","arquivo pessoal do criador"
"2021/07/09 9:25:22 PM GMT+1","4º ano","menino da sus.","Darlan e quem inventou o zé
gotinha
.","programa assustador.👍","zé gotinha nasceu em 1986.","Atigamente ele era DESENHO HOJE EM DIA É MAS REAL","porque ele não TINHA UM nome.","a Darlan encontrou  10 mil cartas falando para colocar o nome zé gotinha.","
porque acha que era vencedor.","
UMA MENINA DO DESTRITO FEDERAU ","ESETIVAR AS PESSOAS VASINA SEM MEDO","POIS PROTEGE DAS DOENSAS","SÃO APENAS GOTINHAS","DOENSA QUE CAUSA NAS CRIÃSAS PARALISIA","PARA VARIAS CRIANÇAS PARTISIPAR","PORQUE ELE NÃO PASSA MEDO NAS CRIANÇAS","ESCULTOR","AS ASPAS SERVEM PARADESTACAR A FALA DO CRIADOR","FATO","AS PESOAS COMESARAM A VASINA SEM MEDO","FICAR ASSUSTADO","ARQUIVO PESSOAL DO CRIADOR"
"2021/07/09 9:25:25 PM GMT+1","4º ano"," Personagem da sus.","Darlan Rosa é quem inventou Zé Gotinha.","Fez um  propaganda assustadora para tomar medo da doença e tomar a vacina.","Ele foi criado em 1983.","Antigamente ele era desenho hoje em dia ele já é mais realista.","Ele apareceu chorando, pois não tinha um nome.","Darlan lembra que mais de 10 mil pessoas sugeriram o nome Zé Gotinha.","Pois os organizadores entenderam que o nome seria o vecedor.","O menino do Destrito Federal levou o premio.","Incentivar as pessoas a vacinar sem medo.","Pois proteje das doenças.","Porque são apenas gotinhas.","Uma doença que causa paralisia as crianças.","Para que varias crianças de todo mundo pudessem  participar.","Coragem.","Escultor.","Para destacar a fala do criador.","Fato.","As pessoas começaram a vacinar sem medo.","Ter muito medo ou pavor.","Arquivo pessoal do criador."
"2021/07/09 9:25:53 PM GMT+1","4º ano","O ZÉ´GOTINHA é uma gota de vacina.","O criador do ZÉ GOTINHA.","AS propagandas eram um susseso.","Ele foi criado em 1986 .","Ele nasceu em 1986 ele é diferente de hoje em dia .Ele era branco como hoje e era pequeno.  Ele é branco como antigamente.","Ele apareceu chorando pois ele não tinha nome.","A escolha foi feita pois ele é uma gota de vacina.","PORQUE ele é uma gota de vacina.","Um menino que levou o prêmio, do Distrito federal.","A ideia, era fazer vacinas.","Porque ela tem cintomas.","Porque a vacina não dói","Poliomielite é uma doença.","Porque na época não internet celulares e outros aparelhos.","As crianças ficaram incentivadas pois, na propaganda as crianças não choravam.","Ele é escultor.","Pois indicam a frase de alguém.","Fato : tem 1, opiniões 2","A passagem dos medos,seguir em frente","Significa fica muito assustado.","Porque ele tem um formato de gota."
"2021/07/09 9:27:18 PM GMT+1","4º ano","Zé Gotinha é um personagem criado em 1986 para conscientizar as pessoas sobre a importância de se vacinar contra poliomielite.","Darlan Rosa é o inventor do Zé Gotinha.","As propagandas de vacina antes do Zé Gotinha eram assustadoras","ele foi criado em 1986.","Quando nasceu ele não tinha  nome ,é uma PROPAGANDA de televisão.                                               
Hoje em dia ele tem nome e continua sendo uma propaganda de tv. ","Zé Gotinha aparecia na imagem chorando pois não tinha nome .","A escolha do nome dele foi escolhido em um concurso.","Os organizadores entenderam que o nome seria esse pois ele é uma gota.","Um menino do distrito federal.","A principal ideia da campanha do Zé Gotinha era conscientizar as pessoas da importan
cia de tomar vacinas .","Vacina é um assunto sério pois previne doencas.","pois vacinas nos protegem de doencas.","é uma doenca que causa paralisia nas criancas.","pois na época não esistia internet.","ele era uma gota que fala sobre a importancia de se vacinar.","ele é escultor.","pois indicam a fala de alguem.","fato 1:opinioes 2","o medo ., desmontou.","ter muito medo.","arquivo pessoal de Darlan Rosa."
"2021/07/09 9:27:52 PM GMT+1","4º ano","O Zé Gotinha é um personagem que ajuda as pessoas a tomar vacinas.
","Darlan Rosa é o 'pai' do personagem Zé Gotinha.","As propagandas de vacina eram assustadoras .","Ele foi criado em 1986.","Eram duas gotinhas de pólio.","Ele aparecia chorando no comercial ,pois ele não tinha nome.","A escolha do nome foi feita por um concurso.","Eles acharam que o nome deveria ser esse pelo seu formato."," Quem levou o prêmio foi um menino do Distrito Federal.","A principal ideia era incentivar as pessoas a se vacinar.","Porque ela ajuda a combater as doenças.","Porque a vacina é só uma picadinha e ela ajuda a nossa saúde. ","É uma doença que paralisa as crianças e pode levar a morte.","Porque o concurso foi em todo o Brasil.","o formato dele e a alegria.","Ele trabalha como escultor.","indica as frases das pessoas.","Opinião: Aqui sou uma pessoa ilustre.

Fato: Darlan virou até nome de prédio residencial.","o sentido é que os medos acabaram .","Significa ter muito medo.","Eles tiraram dos arquivos pessoais da Darlan Rosa."
"2021/07/09 9:29:20 PM GMT+1","4º ano","Zé Gotinha é um personagem que criaram para as pessoas não terem medo de se vacinarem.","Darlan Rosa é quem criou o Zé Gotinha.","Elas eram assustadoras.","Ele foi criado em 1986.","Quando ele nasceu ele era feito de duas gotinhas de pólio e hoje ele é´um mascote.","No cormercial, ele aparecia chorando, pois ele ainda não tinha um nome.","A escolha do nome dele foi feita por cartas.","Os organizadores entederam que esse de veria ser o nome dele pois tiveram 10 mil cartas falando que esse deveria ser o nome dele.","Quem levou o premio foi um menino do Destrito Federal.","A ideia principal era fazer as crianças perderem o medo de tomer vacina.","Vacina é um assunto sério, pois serve para se previnir de doenças.","Não é preciso ter medo de tomar vacina, pois é só uma picadinha e não doi nada.","Doença que causa paralisia nas crianças.","Ele foi feito por meio de cartas, pois não esixtia tecnologia nessa epoca.","O que há no personagem que incentiva as crianças é que ele é uma gotinha.","Ele trabalha como escultor.","Servem aspas para indicar que um personagem está falando.","Primeiro trecho é um fato e o segundo trecho é uma opinião.","Barreiras dos medos - O medo de vacinar. Deslanchou almentou.","Ficar com muito medo de se vacinar.","Arquivo pessual Darlan Rosa."
"2021/07/09 9:30:02 PM GMT+1","4º ano","MASCOTE DA VASINA.","DARLAM E O CRIADOR DO ZE GOTINHA .","AS PROPAGANDAS DE VACINAS ANTES DO ZE GOTINHA ERA ASUSTADOR PARA AS CRIANÇAS.","FOI CRIADO EM 1986.","Quando ze gotinha era diferente pois não tinha seu nome agora ele ja tem.","porque as crianças não  davãm atençao para ele ","a escolha foi feita pois tem a  vacina veio","Eles dicidiram pois as crianças tinham medo das vacinas.","um menino do Distrito federal ganhou o premio.","As crianças começaram a querer a ir ao posto de vacinacão ","A vacina e um assunto serio,pois tem que ser passa do por varios lugares.","Não e preciso ter medo ,pois essa vacina e tomada em gotas .","poliomielite e uma doença .","o porque do concurço ter sido feito foi para os brasileiros mandarem sugestoes.","oque ha  nesse personagem e divertido por nao tomar vacina e sim tomar gotinhas .","atualmente ele trabalha de escultor .","As aspas servem para dizer oque uma pessoa disse .","O primeiro trcho e um fato e o segundo e uma opiniao.","Barreira dos medos ; medo  de vacinar . Deslanchar; aumentar .","Morrer de medo significa ter muito medo de uma coisa .","A  reportagem relacionou o personagem com uma gotinha."
"2021/07/09 9:30:58 PM GMT+1","4º ano","Ele é o mascote das vacina.","Darlan Rosa é a criadora de Zé Gotinha.","As propagandas eram de terror para as pessoas ficarem assustadas para tomar as vacinas.","Zé Gotinha foi criado em 1986.","Antigamente Zé Gotinha era pequeno e magro.


Hoje em dia Zé Gotinha é uma Gotinha grande.","É porque ele não tinha um nome.","Foi pelo um concurso a escolha do nome dele.","Eles sugeriram o nome dele.","Foi um menino do distrito federal.","A idade era para as pessoas tomarem a vacina.","Para melhorar as gripes, doenças e febres.","Não é preciso porque é só uma picadinha que nem dói.","É  a doença que sito no texto é o Zé Gotinha que faz melhorar.","É porque não tinha tecnologia.","Ele é engraçado.","Ele faz escutura.","Para marca as falas.","1 fato.

2 opinião.","Morrer de medo.


Aumentou.","Muito medo de alguma coisa.","De um panfleto."
"2021/07/09 9:31:34 PM GMT+1","4º ano","Zé Gotinha é um personagem que insetiva os outros  a tomar vacina.","Darlan Rosa foi o homem que criou o Zé Gotinha.","As propagandas eram pra influenciar crianças a tomar vacina.","Zé Gotinha foi criado em 1986.","Zé Gotinha antigamente era uma representação de vacina entre si e hoje ele é um mascote.","Zé Gotinha estava chorando porque não tinha nome.","A  escolha foi feita pois, crianças e adultos mandam cartinhas pra Darlan falando que o nome do personagem podia ser Zé Gotinha.","Os organizadores entenderam que o nome ia se esse porque para escolher só um  vencedor só um sorteio.","Quem levou o premio foi o  menino do Distrito Federal.","A ideia principal de Zé Gotinha era influenciar as pessoas a tomar a vacina.","Pois, sem a vacina você pode pegar doenças como a catapora.","Porque ela não vai prejudicar e é rápida.","Poliomite é um doença.","Pois antigamente não tinha tecnologia.","É seu formato de gota e sua apropaganda falava que não precisava ter medo.","Ele atualmente trabalha como escultor.","Porque uma pessoa falou provavelmente o criador do Zé Gotinha.","Primeiro é um fato e o segundo trecho é uma opinião.","A barreira dos medos era o medo de vacinar e deslanchou é popularizou.","Morrer de medo nesse sentido é medo de morrer d doença.","Desenho que Darlan Rosa fez."
"2021/07/09 9:31:35 PM GMT+1","4º ano","Zé Gotinha é: O personagem que incentiva a vacinação.","Darlan Rosa foi: Quem criou o Zé Gotinha com o intuito de incentivar as pessoas a se vacinarem.  ","As propagandas de vacinação antes do Zé Gotinha eram: Assustadoras.","Zé Gotinha foi criado no ano de:1986.","Antigamente o Zé Gotinha era,
feito de duas gotinhas de Pólio e ficava sentado em um cantinho e dizia que estava triste, pois não tinha nome já hoje em dia tem um nome e seus comerciais são incentivando a vacinação.","Ele aparecia no comercial chorando, pois não tinha nome.","O nome Zé Gotinha foi escolhido através de cartas enviadas por todo o Brasil.","Os organizadores entenderam que o nome deveria ser Zé Gotinha, pois mais de 10 mil cartas enviadas por  todo o Brasil."," Quem levou o prêmio pela escolha do nome foi um menino do Distrito Federal.","A ideia era que as pessoas perdessem o medo e fossem vacinar.","Vacina é um assunto sério, pois se você ficar sem vacinar pode pegar doenças que podem causar dores graves.","Não é preciso ter medo, pois é uma picadinha rápida que não doí nada.","Poliomielite é uma doença.","O concurso foi feito por meio de carta, pois antigamente não havia tecnologia.","O que há no personagem que incentiva as pessoas a se vacinarem é, sua formato de gota.","O que o criador do Zé Gotinha faz atualmente é, escultor.","Esse recurso serve para indicar uma fala.","Primeiro trecho é um fato e o segundo trecho é uma opinião.","Que você não precisa ter medo de nada.
Que anda rápido, deslancha.","Que as crianças tinham muito medo de vacinar.","Essa reportagem selecionou esse desenho por meio do arquivo pessoal do Darlan Rosa."
